Reading training examples...done
Iter 1: +++++++++.........:*(NumConst=1, SV=1, CEps=22.1066, QPEps=0.0000)
Iter 2: +++++++++.........:*(NumConst=2, SV=2, CEps=25.3663, QPEps=0.0000)
Iter 3: +++++++++:*(NumConst=3, SV=2, CEps=2.6004, QPEps=0.0000)
Iter 4: +++++++++.........:*(NumConst=4, SV=3, CEps=35.0713, QPEps=0.0000)
Iter 5: +++++++++:*(NumConst=5, SV=4, CEps=2.8042, QPEps=1.0211)
Iter 6: +++++++++:*(NumConst=6, SV=3, CEps=2.5581, QPEps=0.0000)
Iter 7: +++++++++.........:*(NumConst=7, SV=5, CEps=38.4837, QPEps=0.0000)
Iter 8: +++++++++:*(NumConst=8, SV=4, CEps=2.2669, QPEps=0.0001)
Iter 9: +++++++++.........:*(NumConst=9, SV=5, CEps=40.7922, QPEps=0.0000)
Iter 10: +++++++++:*(NumConst=10, SV=5, CEps=3.4357, QPEps=0.0001)
Iter 11: +++++++++.........:*(NumConst=11, SV=6, CEps=46.1325, QPEps=5.4582)
Iter 12: +++++++++:*(NumConst=12, SV=6, CEps=3.6516, QPEps=0.5307)
Iter 13: +++++++++:*(NumConst=13, SV=6, CEps=2.6153, QPEps=1.0837)
Iter 14: +++++++++:*(NumConst=14, SV=6, CEps=2.3371, QPEps=0.0002)
Iter 15: +++++++++:*(NumConst=15, SV=6, CEps=2.4045, QPEps=0.6244)
Iter 16: +++++++++.........:*(NumConst=16, SV=8, CEps=56.6366, QPEps=3.8294)
Iter 17: +++++++++:*(NumConst=17, SV=6, CEps=2.7778, QPEps=0.1503)
Iter 18: +++++++++.........:*(NumConst=18, SV=8, CEps=54.8643, QPEps=0.0001)
Iter 19: +++++++++:*(NumConst=19, SV=7, CEps=3.8630, QPEps=0.3564)
Iter 20: +++++++++.........:*(NumConst=20, SV=8, CEps=54.1883, QPEps=0.0000)
Iter 21: +++++++++:*(NumConst=21, SV=8, CEps=3.6113, QPEps=0.0002)
Iter 22: +++++++++.........:*(NumConst=22, SV=10, CEps=50.1557, QPEps=2.6609)
Iter 23: +++++++++:*(NumConst=23, SV=11, CEps=3.1264, QPEps=0.8588)
Iter 24: +++++++++:*(NumConst=24, SV=10, CEps=2.2451, QPEps=0.3497)
Iter 25: +++++++++.........:*(NumConst=25, SV=10, CEps=56.4641, QPEps=0.0000)
Iter 26: +++++++++:*(NumConst=26, SV=10, CEps=4.8760, QPEps=0.0000)
Iter 27: +++++++++:*(NumConst=27, SV=9, CEps=2.6189, QPEps=0.0001)
Iter 28: +++++++++:*(NumConst=28, SV=9, CEps=2.4239, QPEps=0.0000)
Iter 29: +++++++++.........:*(NumConst=29, SV=11, CEps=53.9801, QPEps=0.0000)
Iter 30: +++++++++:*(NumConst=30, SV=11, CEps=4.5546, QPEps=0.0000)
Iter 31: +++++++++:*(NumConst=31, SV=13, CEps=2.2425, QPEps=0.3121)
Iter 32: +++++++++:*(NumConst=32, SV=14, CEps=2.3153, QPEps=0.4692)
Iter 33: +++++++++:*(NumConst=33, SV=13, CEps=2.3144, QPEps=0.6762)
Iter 34: +++++++++.........:*(NumConst=34, SV=14, CEps=51.7424, QPEps=0.4633)
Iter 35: +++++++++:*(NumConst=35, SV=14, CEps=4.3676, QPEps=0.6157)
Iter 36: +++++++++.........:*(NumConst=36, SV=15, CEps=47.8516, QPEps=0.2081)
Iter 37: +++++++++:*(NumConst=37, SV=15, CEps=6.1633, QPEps=1.2842)
Iter 38: +++++++++.........:*(NumConst=38, SV=16, CEps=49.2112, QPEps=4.4656)
Iter 39: +++++++++.........:*(NumConst=39, SV=21, CEps=45.1965, QPEps=7.2221)
Iter 40: +++++++++.........:*(NumConst=40, SV=26, CEps=52.9938, QPEps=9.7213)
Iter 41: +++++++++:*(NumConst=41, SV=21, CEps=2.7279, QPEps=1.2753)
Iter 42: +++++++++:*(NumConst=42, SV=23, CEps=5.2322, QPEps=0.9643)
Iter 43: +++++++++:*(NumConst=43, SV=23, CEps=4.0832, QPEps=1.3323)
Iter 44: +++++++++:*(NumConst=44, SV=25, CEps=3.0432, QPEps=1.3310)
Iter 45: +++++++++.........:*(NumConst=45, SV=26, CEps=75.8538, QPEps=3.2507)
Iter 46: +++++++++:*(NumConst=46, SV=26, CEps=2.8453, QPEps=1.2241)
Iter 47: +++++++++.........:*(NumConst=47, SV=25, CEps=67.8590, QPEps=8.0170)
Iter 48: +++++++++.........:*(NumConst=48, SV=26, CEps=52.5882, QPEps=6.7969)
Iter 49: +++++++++.........:*(NumConst=49, SV=28, CEps=43.7112, QPEps=9.0631)
Iter 50: +++++++++.........:*(NumConst=50, SV=29, CEps=38.8464, QPEps=8.3196)
Iter 51: +++++++++.........:*(NumConst=51, SV=32, CEps=37.1495, QPEps=10.6282)
Iter 52: +++++++++:*(NumConst=52, SV=28, CEps=3.7939, QPEps=1.0870)
Iter 53: +++++++++:*(NumConst=53, SV=27, CEps=6.5673, QPEps=1.8703)
Iter 54: +++++++++:*(NumConst=54, SV=27, CEps=2.8768, QPEps=1.3340)
Iter 55: +++++++++:*(NumConst=55, SV=24, CEps=2.9241, QPEps=0.6110)
Iter 56: +++++++++:*(NumConst=56, SV=25, CEps=3.4762, QPEps=1.1116)
Iter 57: +++++++++.........:*(NumConst=57, SV=26, CEps=76.7230, QPEps=6.4973)
Iter 58: +++++++++.........:*(NumConst=58, SV=28, CEps=50.9495, QPEps=7.8941)
Iter 59: +++++++++.........:*(NumConst=59, SV=32, CEps=43.1878, QPEps=7.5487)
Iter 60: +++++++++:*(NumConst=60, SV=31, CEps=4.5622, QPEps=1.7723)
Iter 61: +++++++++:*(NumConst=61, SV=27, CEps=4.9063, QPEps=2.1967)
Iter 62: +++++++++:*(NumConst=62, SV=29, CEps=4.4890, QPEps=1.7547)
Iter 63: +++++++++:*(NumConst=63, SV=28, CEps=5.0138, QPEps=0.7179)
Iter 64: +++++++++:*(NumConst=64, SV=33, CEps=3.2741, QPEps=1.4674)
Iter 65: +++++++++.........:*(NumConst=65, SV=32, CEps=55.8786, QPEps=4.6008)
Iter 66: +++++++++:*(NumConst=66, SV=32, CEps=4.0540, QPEps=1.9255)
Iter 67: +++++++++:*(NumConst=67, SV=31, CEps=5.0410, QPEps=1.1254)
Iter 68: +++++++++:*(NumConst=68, SV=38, CEps=2.3983, QPEps=1.1233)
Iter 69: +++++++++:*(NumConst=69, SV=34, CEps=3.4531, QPEps=1.0128)
Iter 70: +++++++++:*(NumConst=70, SV=38, CEps=2.8639, QPEps=0.8197)
Iter 71: +++++++++:*(NumConst=71, SV=38, CEps=2.2130, QPEps=0.8406)
Iter 72: +++++++++.........:*(NumConst=71, SV=39, CEps=63.4883, QPEps=5.9553)
Iter 73: +++++++++:*(NumConst=72, SV=38, CEps=3.4968, QPEps=1.5315)
Iter 74: +++++++++:*(NumConst=73, SV=39, CEps=2.9617, QPEps=1.0439)
Iter 75: +++++++++:*(NumConst=74, SV=38, CEps=2.5503, QPEps=1.2045)
Iter 76: +++++++++.........:*(NumConst=75, SV=39, CEps=55.4622, QPEps=6.6847)
Iter 77: +++++++++:*(NumConst=76, SV=39, CEps=3.2840, QPEps=1.1745)
Iter 78: +++++++++:*(NumConst=77, SV=36, CEps=2.3383, QPEps=0.5924)
Iter 79: +++++++++.........:*(NumConst=78, SV=39, CEps=57.3661, QPEps=6.8355)
Iter 80: +++++++++.........:*(NumConst=79, SV=41, CEps=42.9705, QPEps=6.0370)
